PlayDate,AP,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20
Jul 28 2020,M,10,11,13,14,15,22,23,28,32,35,36,38,39,50,57,59,63,66,68,70
Jul 27 2020,M,5,10,11,12,14,15,16,17,18,27,29,30,32,35,36,45,60,61,63,64
Jul 26 2020,M,7,10,14,20,23,25,26,27,32,36,39,40,47,48,49,53,58,62,63,64
Jul 25 2020,M,2,3,6,8,10,12,13,17,23,27,29,34,41,45,48,54,55,63,66,69
Jul 24 2020,M,2,9,16,19,20,22,24,26,27,32,34,35,36,43,46,52,56,57,58,69
Jul 23 2020,M,2,4,5,6,7,8,17,19,23,30,35,41,42,43,47,51,58,64,66,69
Jul 22 2020,M,2,3,5,6,19,21,22,27,34,35,39,40,47,48,53,57,59,64,67,70
Jul 21 2020,M,5,6,12,13,15,23,24,28,32,35,39,44,45,46,49,54,59,65,66,67
Jul 16 2020,M,3,5,7,14,18,19,20,27,28,30,38,39,43,46,48,54,62,63,65,68
Jul 15 2020,M,6,7,8,9,13,15,23,28,33,37,40,46,47,49,50,57,64,65,69,70
Jul 14 2020,M,1,4,13,14,22,25,27,30,35,36,38,43,47,49,50,55,59,65,67,70
Jul 13 2020,M,4,6,8,12,13,17,19,25,26,27,31,36,39,40,42,53,56,60,67,70
Jul 12 2020,M,1,2,5,10,11,16,29,32,33,34,35,36,37,40,43,48,52,64,69,70
Jul 11 2020,M,2,8,12,20,22,23,24,25,32,40,42,43,45,47,48,53,55,58,63,64
Jul 10 2020,M,4,5,15,20,23,25,26,27,28,34,36,39,40,45,49,50,51,58,60,70
Jul 09 2020,M,2,4,11,14,16,24,28,33,34,36,37,42,48,49,50,53,56,57,65,68
Jul 08 2020,M,4,5,7,10,12,19,20,23,30,32,34,37,49,51,56,59,60,61,63,66
Jul 07 2020,M,8,11,12,17,20,21,22,35,37,38,44,52,55,56,58,59,60,62,67,68
Jul 06 2020,M,1,4,11,12,13,17,20,25,27,30,31,42,48,52,55,59,61,63,66,68
Jul 05 2020,M,1,6,8,9,14,16,23,25,30,34,39,42,43,50,52,54,57,58,65,69
Jul 04 2020,M,2,6,7,15,18,20,22,23,25,27,28,30,32,34,39,51,53,62,66,69
Jul 03 2020,M,2,3,7,8,13,15,20,23,24,27,28,29,49,52,56,60,65,68,69,70
Jul 02 2020,M,2,3,6,9,10,11,12,15,17,21,28,31,41,44,46,48,51,59,60,64
Jul 01 2020,M,1,8,9,11,18,19,20,22,29,34,37,39,41,46,54,57,58,61,64,67
Jun 30 2020,M,2,4,6,9,10,13,15,19,21,32,34,36,41,42,45,46,47,53,57,59
Jun 29 2020,M,1,2,4,6,18,20,21,22,24,27,31,36,40,42,43,52,54,59,64,68
Jun 28 2020,M,6,15,17,18,23,24,25,30,32,34,45,50,55,56,58,60,62,63,68,69
Jun 27 2020,M,3,5,9,10,11,14,15,17,18,19,24,26,31,34,38,40,48,51,54,69
Jun 26 2020,M,10,11,12,13,16,20,24,25,30,35,37,38,39,41,42,47,51,64,65,67
Jun 25 2020,M,2,5,6,8,14,19,20,29,31,34,37,39,40,45,50,53,54,55,57,63
Jun 24 2020,M,3,4,14,26,27,28,29,35,37,40,41,42,47,49,51,53,56,60,63,70
Jun 23 2020,M,7,9,11,13,14,20,21,27,28,30,50,51,55,56,57,60,62,65,69,70
Jun 22 2020,M,3,10,11,13,14,19,28,30,32,37,40,41,43,45,47,51,58,61,62,67
Jun 21 2020,M,6,9,10,12,15,18,22,27,32,35,37,40,45,54,55,56,59,60,62,63
Jun 20 2020,M,1,2,6,9,17,18,32,35,40,47,49,50,55,56,58,59,61,64,68,70
Jun 19 2020,M,4,6,7,11,17,22,23,28,29,31,33,35,39,43,47,48,54,55,61,65
Jun 18 2020,M,2,3,5,9,10,13,20,23,25,31,34,39,43,47,49,54,55,60,66,70
Jun 17 2020,M,1,6,14,15,16,18,19,21,22,26,28,38,43,45,46,58,62,64,67,69
Jun 16 2020,M,4,10,12,24,28,30,31,32,35,38,40,41,46,51,52,53,56,61,62,66
Jun 15 2020,M,7,9,13,14,19,20,22,30,34,35,39,43,44,48,49,52,53,55,59,61
Jun 14 2020,M,1,2,3,9,18,21,23,24,30,32,35,37,41,44,46,49,54,57,59,65
Jun 13 2020,M,3,8,10,12,14,17,21,26,28,30,32,34,36,39,51,56,58,67,68,69
Jun 12 2020,M,1,10,14,19,21,25,27,30,32,40,41,42,45,48,53,56,57,61,63,70
Jun 11 2020,M,9,11,15,18,20,24,25,32,33,34,37,38,42,44,55,60,63,66,67,69
Jun 10 2020,M,1,3,4,11,15,17,18,19,31,33,36,37,41,47,49,57,59,61,65,70
Jun 09 2020,M,3,7,13,16,20,22,26,28,30,34,36,44,47,48,50,53,55,59,64,68
Jun 08 2020,M,1,6,10,14,16,18,23,24,31,36,45,52,53,56,61,63,65,66,67,69
Jun 07 2020,M,2,5,6,8,9,13,16,20,21,22,24,34,39,40,45,48,49,52,58,59
Jun 06 2020,M,3,8,13,14,18,19,21,22,25,26,30,40,41,44,45,47,53,63,67,69
Jun 05 2020,M,1,2,8,16,20,23,29,30,32,39,40,45,46,51,52,53,58,59,60,70
Jun 04 2020,M,3,5,8,9,14,17,23,31,34,35,36,41,42,45,47,50,51,52,53,61
Jun 03 2020,M,1,25,26,28,29,30,32,41,42,44,46,48,50,51,59,60,61,63,65,66
Jun 02 2020,M,1,5,12,15,20,24,25,26,28,29,30,34,40,45,48,49,52,55,66,68
Jun 01 2020,M,2,3,5,15,18,29,36,39,41,43,46,47,53,54,56,57,61,63,68,69
May 31 2020,M,5,8,11,17,22,30,31,33,34,40,42,43,45,52,54,57,59,64,67,68
May 30 2020,M,3,5,7,14,17,24,25,26,30,31,37,41,45,48,50,53,55,57,62,66
May 29 2020,M,1,4,14,16,18,20,22,23,25,31,39,40,42,53,58,59,60,62,66,70
